airport;name;state
LRD;LAREDO INTL;TX
LWS;LEWISTON-NEZ PERCE COUNTY;ID
MAF;MIDLAND INTL;TX
MBS;MBS INTL;MI
MCI;KANSAS CITY INTL;MO
MCO;ORLANDO INTL;FL
MDT;HARRISBURG INTL;PA
MDW;CHICAGO MIDWAY INTL;IL
MEM;MEMPHIS INTL;TN
MFE;MCALLEN-MILLER INTL;TX
MFR;ROGUE-VALLEY INTL-MEDFORD;OR
MHT;MANCHESTER-BOSTON REGIONAL;NH
MIA;MIAMI INTL;FL
MKE;GENERAL MITCHELL INTL;WI
MLB;MELBOURNE INTL;FL
MLI;QUAD CITY INTL;IL
MLU;MONROE REGIONAL;LA
MOB;MOBILE REGIONAL;AL
MOT;MINOT INTL;ND
MRY;MONTEREY REGIONAL;CA
MSN;DANE COUNTY REGIONAL;WI
MSO;MISSOULA INTL;MT
MSP;MINNEAPOLIS-SAINT PAUL INTL;MN
MSY;LOUIS ARMSTRONG NEW ORLEANS INTL;LA
MTJ;MONTROSE REGIONAL;CO
MVY;MARTHA'S VINEYARD;MA
MYR;MYRTLE BEACH INTL;SC
OAK;OAKLAND INTL;CA
OGD;OGDEN-HINCKLEY;UT
OKC;WILL ROGERS WORLD;OK
OMA;EPPLEY AIRFIELD;NE
ONT;ONTARIO INTL;CA
ORD;O'HARE INTL;IL
ORF;NORFOLK INTL;VA
ORH;WORCESTER REGIONAL;MA
OWB;OWENSBORO-DAVIESS COUNTY REGIONAL;KY
PBG;PLATTSBURGH INTL;NY
PBI;PALM BEACH INTL;FL
PDX;PORTLAND INTL;OR
PFN;PANAMA CITY-BAY COUNTY INTL;FL
PGD;PUNTA GORDA;FL
PHF;NEWPORT NEWS/WILLIAMSBURG INTL;VA
PHL;PHILADELPHIA INTL;PA
PHX;PHOENIX SKY HARBOR INTL;AZ
PIA;GENERAL WAYNE A. DOWNING PEORIA INTL;IL
PIE;ST. PETERSBURG-CLEARWATER INTL;FL
PIT;PITTSBURG INTL;PA
PNS;PENSACOLA INTL;FL
PRC;ERNEST A. LOVE FIELD;AZ
PSC;TRI-CITIES;WA
PSM;PORTSMOUTH INTL;NH
PSP;PALM SPRINGS INTL;CA
PUB;PUEBLO MEMORIAL;CO
PUW;PULLMAN-MOSCOW REGIONAL;WA
PVD;T. F. GREEN;RI
